Description,Category
Quick foundation cream purchase,Cosmetics
Gift from friend,Gift
Monthly client website project payment,Freelancing
Monthly cosmetics purchase from mall,Cosmetics
Quick job salary income,Salary
Quick upwork freelance income,Freelancing
Today electricity board bill,Electricity
Today monthly electricity bill,Electricity
Online swiggy food delivery,Food
Monthly gift from friend,Gift
Online order return refund,Refund
Monthly fruits and vegetables purchase,Groceries
Milk bread eggs purchase,Groceries
Today cosmetic store purchase,Cosmetics
Today electricity board bill,Electricity
Online lunch from zomato,Food
Skincare products order,Cosmetics
Today job salary income,Salary
Quick gift from friend,Gift
Gift from family member,Gift
Birthday gift money received,Gift
Online payment refund received,Refund
Quick electricity bill payment,Electricity
Monthly salary credited,Salary
Today flat rent received,Rental Income
Today upwork freelance income,Freelancing
Vegetables from local market,Groceries
Dmart grocery shopping,Groceries
Today coffee from starbucks,Food
Monthly cash gift received,Gift
Online makeup products shopping,Cosmetics
Quick festival gift received,Gift
Zepto grocery delivery,Groceries
Monthly house rent received,Rental Income
Quick upwork freelance income,Freelancing
Today beauty products shopping,Cosmetics
Fruits and vegetables purchase,Groceries
Quick employer salary transfer,Salary
Online apartment rent received,Rental Income
Dominos pizza order,Food
Quick supermarket grocery bill,Groceries
Salary credited to bank,Salary
Monthly tenant rent payment received,Rental Income
Quick apartment electricity charges,Electricity
Quick order return refund,Refund
Online logo design freelance payment,Freelancing
Today job salary income,Salary
Quick power bill payment,Electricity
Today skincare products order,Cosmetics
Online cosmetic store purchase,Cosmetics
Quick supermarket grocery bill,Groceries
Quick dominos pizza order,Food
Monthly office salary payment,Salary
Online client website project payment,Freelancing
Online dinner at restaurant,Food
Sandwich at cafe,Food
Today freelance project payment,Freelancing
Kirana store grocery items,Groceries
Office salary payment,Salary
Vegetables from local market,Groceries
Lunch from Zomato,Food
Monthly swiggy food delivery,Food
Today household grocery refill,Groceries
Today flipkart refund received,Refund
Burger from McDonalds,Food
Monthly electricity bill payment,Electricity
Quick monthly rental income,Rental Income
Quick flipkart refund received,Refund
Online house rent received,Rental Income
Job salary income,Salary
Quick fiverr project payment,Freelancing
Online flat rent received,Rental Income
Today foundation cream purchase,Cosmetics
Online amazon refund received,Refund
Online street food snacks,Food
Today property rent income,Rental Income
Today flat rent received,Rental Income
Today office salary payment,Salary
Monthly makeup products shopping,Cosmetics
Quick milk bread eggs purchase,Groceries
Online graphic design freelancing payment,Freelancing
Power bill payment,Electricity
Employer salary transfer,Salary
Quick cancelled order refund,Refund
Online electricity bill payment,Electricity
Online salary credited to bank,Salary
Amazon refund received,Refund
Today foundation cream purchase,Cosmetics
Today lunch from zomato,Food
Quick apartment electricity charges,Electricity
Quick salary credited to bank,Salary
Quick dmart grocery shopping,Groceries
Quick electricity bill payment,Electricity
Quick electricity bill payment,Electricity
Quick vegetables from local market,Groceries
Monthly rental income,Rental Income
Monthly electricity board bill,Electricity
Quick salary credited to bank,Salary
Monthly vegetables from local market,Groceries
Monthly rental income,Rental Income
Monthly client website project payment,Freelancing
Online dinner at restaurant,Food
Quick skincare products order,Cosmetics
Online makeup products shopping,Cosmetics
Quick vegetables from local market,Groceries
Monthly festival gift received,Gift
Quick electric bill for apartment,Electricity
Online graphic design freelancing payment,Freelancing
Monthly online shopping refund,Refund
Today apartment electricity charges,Electricity
Monthly client website project payment,Freelancing
Online monthly salary credited,Salary
Monthly household grocery refill,Groceries
Job salary income,Salary
Today apartment rent received,Rental Income
Monthly monthly salary credited,Salary
Monthly monthly salary credited,Salary
Quick gift from friend,Gift
Quick online shopping refund,Refund
Today upwork freelance income,Freelancing
Gift from friend,Gift
Quick tea at cafe,Food
Online late night pizza order,Food
Quick foundation cream purchase,Cosmetics
Monthly cosmetics purchase from mall,Cosmetics
Quick freelance project payment,Freelancing
Monthly salary credited,Salary
Monthly tenant rent payment received,Rental Income
Online logo design freelance payment,Freelancing
Fiverr project payment,Freelancing
Quick client website project payment,Freelancing
Monthly logo design freelance payment,Freelancing
Today fruits and vegetables purchase,Groceries
Online electricity charges payment,Electricity
Monthly salary credited,Salary
Today home electricity bill,Electricity
Quick payment refund received,Refund
Monthly company payroll salary,Salary
Quick skincare products order,Cosmetics
Online milk bread eggs purchase,Groceries
Today property rent income,Rental Income
Quick milk bread eggs purchase,Groceries
House rent received,Rental Income
Monthly upwork freelance income,Freelancing
Tenant rent payment received,Rental Income
Quick lipstick purchase,Cosmetics
Quick burger from mcdonalds,Food
Office salary payment,Salary
Online shopping refund,Refund
Online power bill payment,Electricity
Online sandwich at cafe,Food
Monthly skincare products order,Cosmetics
Wedding gift cash,Gift
Today skincare products order,Cosmetics
Quick electric bill for apartment,Electricity
Online freelance project payment,Freelancing
Flipkart refund received,Refund
Quick upwork freelance income,Freelancing
Monthly facewash purchase,Cosmetics
Quick fiverr project payment,Freelancing
Online upwork freelance income,Freelancing
Quick payment refund received,Refund
Online electricity charges payment,Electricity
Online online shopping refund,Refund
Today skincare products order,Cosmetics
Today power bill payment,Electricity
Online office salary payment,Salary
Flat rent received,Rental Income
Monthly salary credited,Salary
Quick weekly grocery shopping,Groceries
Online dominos pizza order,Food
Quick online shopping refund,Refund
Monthly dmart grocery shopping,Groceries
Online street food snacks,Food
Online rice and wheat purchase,Groceries
Quick facewash purchase,Cosmetics
Online company payroll salary,Salary
Monthly gift from family member,Gift
Rice and wheat purchase,Groceries
Quick skincare products order,Cosmetics
Monthly kirana store grocery items,Groceries
Quick office salary payment,Salary
Monthly supermarket grocery bill,Groceries
Makeup products shopping,Cosmetics
Quick household grocery refill,Groceries
Today makeup products shopping,Cosmetics
Online burger from mcdonalds,Food
Quick online shopping refund,Refund
Quick flat rent received,Rental Income
Quick fruits and vegetables purchase,Groceries
Online shopping refund,Refund
Online graphic design freelancing payment,Freelancing
Quick employer salary transfer,Salary
Monthly fresh vegetables shopping,Groceries
Quick electricity charges payment,Electricity
Today coffee from starbucks,Food
Order return refund,Refund
Online street food snacks,Food
Online facewash purchase,Cosmetics
Monthly monthly salary credited,Salary
Online burger from mcdonalds,Food
Monthly lunch from zomato,Food
Monthly company payroll salary,Salary
Quick gift from family member,Gift
Electricity board bill,Electricity
Monthly company payroll salary,Salary
Logo design freelance payment,Freelancing
Quick order return refund,Refund
Monthly family dinner outside,Food
Quick apartment rent received,Rental Income
Quick fruits and vegetables purchase,Groceries
Today gift from family member,Gift
Late night pizza order,Food
Today moisturizer purchase,Cosmetics
